;ir_1;red;green;blue;vis_1;vis_2;vis_3;ir_2;ir_3;intervention
0;14371.0;56.0;76.0;80.0;5297.0;831.0;194.0;2368.0;578.0;uniform_reference
1;8381.0;34.0;66.0;10.0;1874.0;257.0;70.0;1110.0;283.0;uniform_reference
2;13219.0;82.0;20.0;18.0;1853.0;274.0;63.0;1986.0;533.0;uniform_reference
3;8291.0;42.0;13.0;77.0;3581.0;592.0;172.0;1477.0;441.0;uniform_reference
4;12537.0;66.0;45.0;9.0;1927.0;317.0;74.0;2058.0;497.0;uniform_reference
5;11215.0;68.0;37.0;23.0;1927.0;351.0;80.0;1986.0;501.0;uniform_reference
6;16702.0;85.0;9.0;66.0;4061.0;574.0;132.0;2442.0;569.0;uniform_reference
7;10441.0;59.0;44.0;22.0;2020.0;339.0;105.0;1768.0;528.0;uniform_reference
8;7828.0;42.0;22.0;33.0;1931.0;266.0;69.0;1014.0;278.0;uniform_reference
9;15942.0;70.0;47.0;63.0;4202.0;738.0;185.0;2830.0;760.0;uniform_reference
10;13959.0;72.0;31.0;33.0;2727.0;355.0;91.0;1752.0;508.0;uniform_reference
11;9300.0;36.0;39.0;52.0;3118.0;439.0;112.0;1361.0;367.0;uniform_reference
12;4815.0;8.0;24.0;66.0;3132.0;403.0;128.0;743.0;249.0;uniform_reference
13;559.0;9.0;8.0;4.0;110.0;10.0;0.0;85.0;21.0;uniform_reference
14;3663.0;7.0;59.0;14.0;1236.0;248.0;77.0;740.0;279.0;uniform_reference
15;16101.0;50.0;59.0;85.0;5582.0;987.0;242.0;2615.0;752.0;uniform_reference
16;15842.0;80.0;57.0;45.0;3809.0;576.0;102.0;2313.0;524.0;uniform_reference
17;12220.0;10.0;83.0;73.0;5136.0;764.0;211.0;1863.0;545.0;uniform_reference
18;3949.0;17.0;0.0;56.0;2389.0;240.0;94.0;487.0;206.0;uniform_reference
19;5653.0;12.0;64.0;18.0;1636.0;258.0;85.0;899.0;290.0;uniform_reference
20;10079.0;69.0;0.0;27.0;1637.0;187.0;64.0;1144.0;388.0;uniform_reference
21;3761.0;29.0;2.0;24.0;893.0;97.0;43.0;426.0;191.0;uniform_reference
22;10775.0;41.0;62.0;30.0;2665.0;390.0;127.0;1355.0;490.0;uniform_reference
23;11236.0;61.0;46.0;17.0;2077.0;229.0;93.0;1341.0;504.0;uniform_reference
24;10059.0;51.0;13.0;61.0;2971.0;462.0;129.0;1553.0;421.0;uniform_reference
25;8296.0;17.0;55.0;82.0;3836.0;668.0;214.0;1351.0;478.0;uniform_reference
26;8838.0;33.0;72.0;1.0;1922.0;242.0;71.0;1257.0;338.0;uniform_reference
27;12584.0;63.0;20.0;42.0;2845.0;379.0;74.0;1749.0;354.0;uniform_reference
28;15462.0;81.0;1.0;61.0;4085.0;394.0;130.0;1471.0;571.0;uniform_reference
29;5204.0;21.0;7.0;59.0;2328.0;356.0;67.0;647.0;139.0;uniform_reference
30;6117.0;20.0;9.0;84.0;3744.0;649.0;209.0;1107.0;382.0;uniform_reference
31;5528.0;1.0;53.0;24.0;2003.0;246.0;73.0;693.0;221.0;uniform_reference
32;8545.0;28.0;52.0;35.0;2593.0;342.0;126.0;1095.0;362.0;uniform_reference
33;6066.0;41.0;31.0;5.0;906.0;141.0;30.0;913.0;218.0;uniform_reference
